Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerDis,TriLobed,ClaPer,Bare,Step,GalPar,Medicago,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,3,3,,4,,2,,,3,,2,3,2,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,3,2,,3,4,,,,3,4,2,2,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,3,2,,4,3,,,,,2,4,2,,,1,,,,2,1,,,,,,,,,,,,
,,,,11,3,2,4,2,2,3,2,,,,2,,3,2,,,2,,,1,1,1,,,,,,,,,,,,
,,,,12,4,2,2,2,2,4,5,,2,,,2,,2,3,,,1,,,,,,,,,,,,,,,,
,,,,13,5,2,4,2,4,2,3,,,,2,3,3,2,,,2,1,,2,,,1,2,3,3,,,,,,,,
,,,,14,6,2,3,2,3,2,3,,,,1,,3,3,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,3,2,2,4,,,,,2,,4,2,3,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,2,3,2,3,,,,,2,2,2,3,4,2,2,,,,,,,2,,,1,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,BriMin,CynEch,VulMicro,LolMul,Torilis,CarPac,GerDis,CerGlo,PetDub,TriHya,GalPar,TriDub,TriHir,Lotus Sp. ,Bare,Gopher,VicSat,Oligosperma,Sherardia,AirCar,,,,,,
SFREC,5/8/2017,1,1,1,1,3,2,3,,4,2,,,,,,2,5,3,,,,,2,,,,,2,,,,,,,,,
,,,,2,2,3,3,2,,2,1,,,1,,,2,3,4,,,,,,1,,,,3,,,,,,,,,
,,,,3,3,3,2,2,,,3,,,1,,,2,2,4,,,,2,,,,,,2,2,,,,,,,,
,,,,4,4,3,2,2,3,2,2,5,,,,,,,4,,,,,2,,,,,3,1,,,,,,,,
,,,,5,5,3,2,2,4,2,5,2,,,,,,,4,2,1,,,,2,,,,2,,,,,,,,,
,,,,6,6,3,2,3,2,4,4,3,,,,,2,,3,,,,,2,,,,,2,,,,,,,,,
,,,,7,7,3,2,2,3,4,3,2,,,,,1,,4,,,2,,,,,,,2,1,,,,,,,,
,,,,8,8,3,3,2,2,3,,2,,,,,,,3,,,,1,3,2,,,,2,2,2,,,,,,,
,,,,9,1,4,2,2,,3,,4,,1,,,3,2,3,,,,,2,,1,,,3,,,,,,,,,
,,,,10,2,4,3,2,,3,2,,,2,,,3,3,3,,,,,2,2,,,,2,,,,,,,,,
,,,,11,3,4,3,3,,3,3,,,,,,2,4,4,,1,,,2,2,1,,,2,,,,,,,,,
,,,,12,4,4,3,2,2,2,5,2,,,,,4,2,3,2,1,,,,,,,,2,1,,1,,,,,,
,,,,13,5,4,2,2,4,2,5,,,,,,4,,3,,,,,2,2,,,,2,,,,,,,,,
,,,,14,6,4,2,2,2,5,5,,,,,,3,,3,,1,,,4,,2,,,2,,2,,,,,,,
,,,,15,7,4,3,,2,2,4,,,,,,2,,3,,2,,,3,2,,,,2,,,,,,,,,
,,,,16,8,4,2,2,2,,4,,,,2,,2,,3,,1,,,,,,,,3,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,BriMin,CynEch,VulMicro,Torilis,CarPac,GerDis (Low confidence),CerGlo,PetDub,TriHya,GalPar,TriDub,TriHir,Lotus Sp,VicSat,Bare,Gopher,ClaPur,Sherardia,VulMyu,Oligosperma,Navarretia,LinBic,,,,
SFREC,5/8/2017,1,1,1,1,5,2,4,,3,2,3,,2,,3,3,4,,,,1,,,2,2,,,,,,,,,,,,
,,,,2,2,5,3,4,,3,3,,,1,,3,,3,,1,,,3,2,2,2,,,,,,,,,,,,
,,,,3,3,5,4,3,,2,2,2,,2,,3,3,3,,,,1,4,,,,,,2,1,,,,,,,,
,,,,4,4,5,2,1,1,2,4,,,,,4,,3,,,,,3,,2,2,,,2,1,1,,,,,,,
,,,,5,5,5,2,2,2,2,3,3,,2,,3,,3,,,,,2,,,2,,,,1,1,1,,,,,,
,,,,6,6,5,3,2,2,2,4,,,,,,,3,,1,,,2,1,,2,,,2,,,,,,,,,
,,,,7,7,5,3,2,3,2,4,,,1,,,2,3,,1,,,2,,,2,,,2,,,,,,,,,
,,,,8,8,5,2,1,2,,3,,,2,,,1,0,1,2,,,2,,,,,,2,1,,,1,,,,,
,,,,9,1,6,2,3,2,2,2,3,2,,,3,,3,1,2,,,3,,2,2,,,,,,,,,,,,
,,,,10,2,6,2,2,2,2,3,,1,3,,4,,3,,2,,,2,2,2,2,,,,,,,,,,,,
,,,,11,3,6,3,2,4,2,3,,,3,,3,,3,,,,,4,2,,,,,,1,,,,,,,,
,,,,12,4,6,2,2,3,2,3,,,,,3,2,2,,,,,5,2,2,2,,,2,2,,,,,,,,
,,,,13,5,6,2,2,4,,4,,,1,,3,2,3,,2,,,3,,,2,,,,,,,,,,,,
,,,,14,6,6,3,3,4,2,3,,,2,,3,3,3,,,,,4,,,,,,2,,,,,,,,,
,,,,15,7,6,4,4,3,2,3,,,1,,3,2,2,,,,,5,,,2,,,,,,,,2,,,,
,,,,16,8,6,3,3,3,2,3,,,,,3,3,3,,,,,4,,,2,,,,1,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,BriMin,CynEch,Torilis,CarPac,GerDis,CerGlo,PetDub,GalPar,TriDub,TriHir,VicSat,Lotus Sp.,ClaPur,Bare ,Gopher,Sherardia,VulMyu,TriHya,LinBic,,,,,,,
SFREC,5/8/2017,1,1,1,1,7,3,2,4,,3,,2,3,3,,2,,1,,,,2,,2,,,1,,,,,,,,,,
,,,,2,2,7,2,3,3,2,2,,,2,3,,3,,,,,,2,,,,,2,,,,,,,,,,
,,,,3,3,7,2,3,4,2,2,,,3,4,,2,,1,,2,2,2,,,,,,2,,,,,,,,,
,,,,4,4,7,2,2,4,2,3,,,,3,,2,,2,,4,2,,,2,,,,,2,,,,,,,,
,,,,5,5,7,2,2,4,2,2,,2,,2,3,3,,1,,4,,2,,,,,,,,,,,,,,,
,,,,6,6,7,2,2,4,2,3,,,1,2,3,3,2,2,,4,,,,1,,,,1,,1,,,,,,,
,,,,7,7,7,2,4,3,2,3,,,,3,3,3,,,,3,,,,,,,,,,,,,,,,,
,,,,8,8,7,1,4,3,2,3,4,,,3,,3,,,,,,2,,,,,2,,,,,,,,,,
,,,,9,1,8,2,2,3,,2,2,,3,3,,2,,,,,,,,1,,,,1,,,,,,,,,
,,,,10,2,8,2,3,4,1,2,,,3,3,,2,,2,,,2,2,,2,,,2,,,,,,,,,,
,,,,11,3,8,2,2,4,2,3,,,2,3,,3,,,,,,2,2,3,,,,1,,,,,,,,,
,,,,12,4,8,2,2,4,2,3,,2,2,3,,2,,2,,3,1,2,,3,,,,2,,,,,,,,,
,,,,13,5,8,2,2,4,0,2,,,,3,2,2,,2,,4,,,,2,,,,2,,,,,,,,,
,,,,14,6,8,2,3,4,0,,,,,3,,2,1,2,,4,,2,,,,,,,,,,,,,,,
,,,,15,7,8,2,3,3,2,,,,,4,,2,,1,,,1,2,,,,,,,,,,,,,,,
,,,,16,8,8,2,4,3,2,,,,1,2,,3,,,,3,,2,,,,,1,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,CynEch,Torilis,CarPac,GerDis,CerGlo,PetDub,TriHya,ClaPur,TriDub,TriHir,Lotus,VicSat,Bare,Gopher,GalPar,CroSet,BriMin,Oligosperma,AirCar,Athysanus,VulMicro,AveBar,,,,
SFREC,5/8/2017,1,2,1,1,1,5,2,,3,2,,,2,,3,1,,,,3,2,2,2,,,,,,,,,,,,,,
,,,,2,2,1,3,2,,4,2,3,,3,,,,,,,2,,,2,,,,,,,,,,,,,,
,,,,3,3,1,2,2,2,3,,3,,2,3,,,,,,3,1,,2,,,,,,,,,,,,,,
,,,,4,4,1,2,3,2,3,,,2,4,2,,,,,,,,,2,,,,,,,,,,,,,,
,,,,5,5,1,2,2,,4,,3,,3,,,,,,,2,,,2,3,3,1,1,,,,,,,,,,
,,,,6,6,1,3,2,,3,,,,3,,2,,,,,3,,,3,,,,1,,,,,,,,,,
,,,,7,7,1,2,3,,5,,,,2,2,2,,,2,,3,,,3,,,,,,,,,,,,,,
,,,,8,8,1,2,3,2,4,,,1,,3,2,,,,,4,,,3,,,1,,1,,,,,,,,,
,,,,9,1,2,2,2,,3,4,,,4,,,,,,,4,,2,2,,,1,,,,,,,,,,,
,,,,10,2,2,2,3,1,3,2,,,5,2,,,,,,3,,,2,,,,,,,,,,,,,,
,,,,11,3,2,2,3,3,2,2,3,,4,,,,,2,1,3,,,2,,,,,,,,,,,,,,
,,,,12,4,2,2,2,3,1,1,,,5,2,2,,,,2,4,,2,,,,,,2,,1,,,,,,,
,,,,13,5,2,3,1,3,1,,2,,3,,,,,,2,4,,,2,,,,,,,,1,1,,,,,
,,,,14,6,2,2,3,4,2,,3,,2,,2,,1,,2,4,2,,2,,,,,1,,,,,,,,,
,,,,15,7,2,3,2,4,2,,,,2,,2,,,,,3,,,3,,,,,,,,,,2,,,,
,,,,16,8,2,3,3,2,4,,,,3,,2,,,,1,2,,,3,,,,,,,,,,2,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,CynEch,Torilis,CarPac,GerDis,CerGlo,PetDub,GalPar,TriHya,ClaPur,TriDub,TriHir,VicSat,Lotus Sp,Bare,Gopher,LolMul,AveBar,AirCar,Lomatium,BriMin,VulMyu,,,,,
SFREC,5/8/2017,1,2,1,1,3,3,2,1,1,3,,1,3,,,,,1,,2,5,,2,,,,,,,,,,,,,,
,,,,2,2,3,3,2,2,2,3,,2,4,,,,,,,,4,,2,,,,,,,,,,,,,,
,,,,3,3,3,2,3,2,1,3,,,4,,,,,,,,3,,2,,,,,,,,,,,,,,
,,,,4,4,3,2,3,3,1,3,,2,4,,,,,,,,3,,2,,,,,,,,,,,,,,
,,,,5,5,3,3,2,3,2,0,3,,3,,,,,,,3,3,,2,,,,1,,,,,,,,,,
,,,,6,6,3,3,2,2,2,0,4,,2,,,,,,2,2,3,,3,,,,,2,1,,,,,,,,
,,,,7,7,3,3,2,4,,2,,,3,,,,,,,,2,,3,,,,,2,,,,,,,,,
,,,,8,8,3,3,2,3,2,2,,,3,,3,,,,,,2,,3,,,,,,,3,,,,,,,
,,,,9,1,4,3,2,2,,3,,,1,,2,,,,,,5,,2,,,,,,,,,,,,,,
,,,,10,2,4,3,3,2,2,3,4,,2,,,,,,,2,4,,3,,,,,,,,,,,,,,
,,,,11,3,4,3,1,2,,4,3,,3,,2,,,,2,,5,1,2,,,,,1,,,,,,,,,
,,,,12,4,4,,4,2,,,3,,4,,3,,,,,,,,3,,,,,,,,,,,,,,
,,,,13,5,4,2,3,3,1,,3,1,2,,2,,,,,,4,2,2,,,,,1,,,1,1,,,,,
,,,,14,6,4,2,3,4,,1,3,,3,2,2,,,,,,2,,2,,,,,,,,,,,,,,
,,,,15,7,4,2,3,4,,2,,,4,,2,,,,,,,,3,,,,,1,,,,,,,,,
,,,,16,8,4,2,4,3,,2,,,3,2,,,,,,,,,4,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BrOSter,TaeCap,ElyGla,CynEch,Torilis,CarPac,GerDis,GalPar,TriHya,ClaPur,TriDub,TriHir,BicSat,Lotus,Bare,Gopher,AveBar,Sherardia,Oligosperma,VulMyu,Navarretia,CerGlo,GreenSpiky,,,,,,
SFREC,5/8/2017,1,2,1,1,5,2,2,2,,5,,,2,,2,,,,5,,,,,,,,,,,,,,,,,,
,,,,2,2,5,3,,2,,4,,2,4,,,,2,,4,2,2,2,,,1,,,,,,,,,,,,
,,,,3,3,5,2,2,3,,4,,,3,,,,2,,5,,2,,,,,,,,,,,,,,,,
,,,,4,4,5,,3,,,3,3,,2,,,,,,2,,3,,,,,2,,,,,,,,,,,
,,,,5,5,5,2,4,2,1,2,3,,3,,,,,,3,,3,,,,,,,,,,,,,,,,
,,,,6,6,5,2,3,2,1,2,,,3,,3,,,,,,4,,,,,,,,,,,,,,,,
,,,,7,7,5,2,2,3,,3,4,,3,,,,,,,,2,,,,,2,1,,,,,,,,,,
,,,,8,8,5,2,3,4,,2,,,3,2,,1,,,,,2,,,,,,,2,,,,,,,,,
,,,,9,1,6,2,,2,,5,,,2,2,2,,,1,5,3,2,,,,,,,,,,,,,,,,
,,,,10,2,6,3,,3,,4,,,4,2,,,,,5,2,2,,,,,,,,,,,,,,,,
,,,,11,3,6,2,,3,1,3,,,3,,,,,,6,2,,,,,,,,,,,,,,,,,
,,,,12,4,6,3,3,3,,3,,,3,,,,,,5,,3,,,,,,,,1,,,,,,,,
,,,,13,5,6,2,3,2,,4,3,,3,,3,,,,,,4,,,,,,,,,,,,,,,,
,,,,14,6,6,3,3,2,,4,3,2,3,,2,,,,3,,3,,,,,,,,,,,,,,,,
,,,,15,7,6,2,2,3,,2,2,2,3,,,,,,,,3,,,,2,1,,,,1,1,,,,,,
,,,,16,8,6,2,,3,,2,,2,,,,,,2,2,,2,,,,1,,,2,,2,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,BriMin,CynEch,Torilis,CarPac,GerDis,CerGlo,PetDub,GalPar,TriDub,TriHir,VicSat,Lotus Sp.,ClaPur,VulMyu,VulMicro,Sherardia,AirCar,GreenSpike,TriHya,,,,,,,
SFREC,5/8/2017,1,2,1,1,7,3,,2,,3,,,,2,,,,,,5,2,2,,,,,,,,,,,,,,,
,,,,2,2,7,3,,4,,4,,,,3,,2,,,,2,,2,,2,,,,,,,,,,,,,
,,,,3,3,7,3,,4,,3,,,,2,,2,,,,5,2,2,,2,2,,,,,,,,,,,,
,,,,4,4,7,3,1,4,2,4,,1,,2,,,,1,,6,,,,,2,,,,,,,,,,,,
,,,,5,5,7,2,2,4,1,2,,,,3,2,,,,,5,,2,,,,,,,,,,,,,,,
,,,,6,6,7,2,4,2,,,3,,,3,,2,,,1,2,,3,,,,,,,,,,,,,,,
,,,,7,7,7,3,3,2,,,3,,1,4,2,,2,,,,,3,,2,,1,,,,,,,,,,,
,,,,8,8,7,3,2,2,2,3,,1,,2,3,2,,,,2,,3,,,,1,2,1,1,,,,,,,,
,,,,9,1,8,2,,3,,2,3,1,2,3,,,2,,,5,,,,2,1,,,,,,,,,,,,
,,,,10,2,8,2,2,4,,2,2,,2,3,,,,,,4,,,,3,,,,,,,,,,,,,
,,,,11,3,8,2,,4,,2,,,2,3,,,1,,,5,,2,,2,,,,,,,,,,,,,
,,,,12,4,8,2,2,4,,2,,,2,4,,,1,,,4,,2,,3,,,,,,,,,,,,,
,,,,13,5,8,2,2,3,2,2,,,2,4,3,,2,,,3,,3,,,,,,,,1,,,,,,,
,,,,14,6,8,2,,3,1,,2,1,3,,2,,,,,5,,2,,,,,,,1,,,,,,,,
,,,,15,7,8,2,,3,,2,3,1,2,3,2,2,2,,,2,,2,,2,,,,,,,,,,,,,
,,,,16,8,8,2,4,2,3,2,,,2,3,,2,2,,1,2,,2,,,,,,1,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroSter,VicSat,Torilis,GalPar,BroMad,DicCap,VulMyu,LacSer,EupSpa,Onagraceae,PetDub,TriDub,HypGla,Filago (Unk),AirCar,Lagophylla,ClaPur,LinBic (Purple),TriHir,BriMin,CynEch,TriHya,TaeCap,Lotus Hairy,Bare,CarPac,,,,
SFREC,5/7/2017,2,1,1,1,1,4,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,3,1,,2,3,2,2,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,2,,,3,1,4,,2,3,,,,3,,1,,,,,,,,,,,,,,,,
,,,,4,4,1,2,,,2,2,,4,,2,3,,,,4,3,,2,1,1,,,,,,,,,,,,,
,,,,5,5,1,3,,,,,1,5,,2,3,,3,,3,4,1,3,,1,1,2,2,2,,,,,,,,,
,,,,6,6,1,3,1,,,,,4,,,3,1,2,,3,4,,2,2,1,,,,,2,,,,,,,,
,,,,7,7,1,1,1,,1,1,1,3,,,3,,3,2,4,5,1,3,,1,,,1,2,,,,,,,,,
,,,,8,8,1,,,,3,2,,3,,,3,1,3,,,4,1,2,,1,,,,1,,1,,,,,,,
,,,,9,1,2,5,2,1,2,3,2,2,,2,2,,,2,,,,,,,,2,,,,,2,,,,,,
,,,,10,2,2,3,,,,,2,1,2,4,,,3,,,,,2,1,1,,,,1,,,,3,,,,,
,,,,11,3,2,3,,,,3,,3,,3,3,1,,1,3,3,1,2,2,,,2,,2,,,,,,,,,
,,,,12,4,2,2,2,,,,,4,,,3,1,2,1,5,3,1,,,,1,,,,,,,,,,,,
,,,,13,5,2,2,2,,2,,1,5,,1,3,,3,,5,4,2,,,,,,,,,,,,,,,,
,,,,14,6,2,2,,,2,2,,5,1,,3,,2,,4,4,,2,2,,1,,,,,,,,,,,,
,,,,15,7,2,2,,,2,3,,4,,2,3,1,2,1,4,,,,1,1,,,,1,2,1,,2,,,,,
,,,,16,8,2,1,,,2,3,,3,,,4,,2,,,5,,2,,,,,2,1,,1,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,BriMin,VulMyu,AirCar,TaeCap,HyaGra,Torilis,GalPar,Onagraceae,ClaPur,Lagophylla,LacSer,PetDub,TriDub,TriHir,VicSat,Bare,Gopher,LotusHairy,CynEch,EupSpa,TriHya,Filago,LinBic,Sherardia,CarPac,DaucPusil,,
SFREC,5/7/2017,2,1,1,1,3,4,1,2,,,2,2,2,2,2,2,2,,2,3,,,,2,,,2,1,1,,,,,,,,
,,,,2,2,3,2,3,3,1,,2,2,3,2,3,1,,,2,3,,,,,,,2,1,1,,,,,,,,
,,,,3,3,3,2,5,1,1,,,2,,3,2,,,2,2,3,1,3,,2,,,,,,,,,,,,,
,,,,4,4,3,2,5,1,,,,2,1,4,3,,2,2,2,3,1,4,,1,,,,,1,,,,,,,,
,,,,5,5,3,2,5,,,2,,2,,3,2,,3,,,2,2,4,2,2,2,2,,,,2,1,,,,,,
,,,,6,6,3,2,5,,,2,,,,3,2,,2,1,2,4,,3,,3,,,,,,,,,,,,,
,,,,7,7,3,2,5,2,,,,,,4,2,2,,,1,4,,4,,,,,,,1,,,1,1,,,,
,,,,8,8,3,1,4,2,,,,2,2,4,2,2,,2,1,3,,3,,3,,,,,,,,,,,,,
,,,,9,1,4,3,2,4,,,2,1,,1,2,2,,2,,3,,,,3,3,3,,,2,2,,,2,,,,
,,,,10,2,4,2,3,1,,,,2,,3,3,1,1,3,3,3,,,,,3,3,,,,,1,,,,,,
,,,,11,3,4,2,3,2,,,,2,1,3,,,2,2,2,3,3,2,,,,,,,1,1,,,,,,,
,,,,12,4,4,3,3,3,,1,1,2,,2,2,,3,,,3,2,2,,,,,,,,,1,,,,,,
,,,,13,5,4,2,5,2,,1,,2,,3,3,1,3,1,,3,,3,,,,,,1,,,,,,,,,
,,,,14,6,4,2,5,2,,1,,2,,3,3,,3,,1,3,,4,,,2,,,,,,,,2,,,,
,,,,15,7,4,3,3,3,,1,,1,,4,3,1,2,,2,3,,4,,2,,,,,,1,,,2,2,,,
,,,,16,8,4,1,2,3,,2,,2,,3,2,,3,,2,3,,5,,,,,,2,1,1,,,1,2,1,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroSter,BroMad,BriMin,VulMyu,AirCar,TaeCap,CynEch,HypGla,Torilis,GalPar,LacSer,PetDub,EupSpa,Sherardia,Lagophylla,Onagraceae,ClaPur,TriDub,TriHir,VicSat,Bare,Gopher,LinBic,Lotus Hairy,Daucus Pusillus,TriHya,Filago,CarPac,GreenSpiky,DicCap
SFREC,5/7/2017,2,1,1,1,5,4,,2,,,,2,,,3,3,2,,,,,,3,3,,,2,,,1,1,,,,,,
,,,,2,2,5,3,,2,4,,,2,,,3,3,,2,1,,,2,3,2,,,,,,2,1,,,,,,
,,,,3,3,5,2,,,2,,,2,1,,4,3,,4,,1,,2,2,2,,,1,2,2,2,,1,,,,,
,,,,4,4,5,3,,,4,,,2,,1,3,3,,4,1,1,,2,3,2,2,,2,,,,,,2,1,,,
,,,,5,5,5,2,3,3,2,,,2,,,4,,,3,,1,,2,2,2,3,,2,,,1,,,,,2,,
,,,,6,6,5,2,3,2,,1,,,,,4,4,,4,1,,,2,2,3,4,1,2,,,,,,,,,,
,,,,7,7,5,,3,,,,,,,,4,2,,3,1,,1,2,,2,5,,,,,1,,,,,,,
,,,,8,8,5,2,3,,2,1,,1,2,2,4,3,2,4,,,1,2,,2,4,,2,,,2,,,,,,,
,,,,9,1,6,3,,4,2,,,,,2,2,2,1,,1,,,,3,3,,,,,,,,1,,,,,
,,,,10,2,6,2,2,,,,,2,,,3,3,,3,,,,2,3,3,,,,,,,1,2,,1,,2,
,,,,11,3,6,3,,,,,,2,,,3,3,,3,1,,,2,3,4,,,,,,,,2,,,,1,
,,,,12,4,6,2,,,4,,,2,,,4,3,,3,,1,,2,4,2,,,2,,,,,2,,1,,,1
,,,,13,5,6,2,2,,3,,,3,,1,4,3,1,5,1,,,2,2,2,,,,,,,,2,,,,,
,,,,14,6,6,2,3,1,2,1,,2,,,4,3,,4,,1,,2,,2,4,,,,,,,2,2,,,,
,,,,15,7,6,1,3,,2,,,1,,1,4,,,4,1,,,2,2,2,5,,,,,1,,,,,,,
,,,,16,8,6,1,2,,2,,,2,2,,4,,,4,,,,2,3,2,5,,,,,2,,1,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,VulMyu,TaeCap,AirCar,BriMin,CynEch,HypGla,LacSer,Torilis,GalPar,PetDub,EupSpa,Sherardia,Lagophylla,Onagraceae,ClaPur,TriDub,TriHir,VicSat,Bare,Gopher,Lotus Hairy,LoLMul,Daucus Pusillus,GreenSpiky,LinBic,CarPac,TriHya,LinPar
SFREC,5/7/2017,2,1,1,1,7,3,3,2,2,,,,,,,2,4,1,2,1,,2,3,3,,,,,,1,,,,,,,
,,,,2,2,7,3,3,,,2,,,,,2,2,4,,1,1,,2,3,2,,,,2,,,1,2,1,,,,
,,,,3,3,7,3,3,2,,,,,,,3,3,4,,,2,,2,3,3,,,,,,,,2,,1,,,
,,,,4,4,7,3,3,2,,,,,,,,3,4,,,2,,2,3,2,1,,2,,,,,1,,,,,1
,,,,5,5,7,2,4,,,,,1,,,2,3,3,,,,2,2,3,,,,2,,,,,,,,,,
,,,,6,6,7,1,2,3,,,,2,,,4,4,2,,2,,,2,2,2,5,,,,,,,,,,,,
,,,,7,7,7,,2,2,,,1,,,2,4,4,2,,1,,,3,2,3,5,,,,,,,,,1,,,
,,,,8,8,7,,2,2,,,1,1,,2,4,4,3,,,1,,3,3,,4,,,,,,,,,,3,,
,,,,9,1,8,3,3,2,,,,1,,,,2,4,,,2,,3,3,3,,,,,,,,,1,,,,
,,,,10,2,8,2,3,2,,,,,,,3,3,3,1,3,1,,3,4,2,,,2,,,,,,,,,,
,,,,11,3,8,3,4,2,,,,,,,2,3,4,,1,1,,,4,,,,,,,,,,,,,2,
,,,,12,4,8,2,3,2,,,,,,,4,3,3,,2,,,,4,3,,,,,,,,,1,,,,
,,,,13,5,8,3,2,2,,,,1,,,4,3,2,,2,,,,4,,4,1,2,,,,,,,,,,
,,,,14,6,8,2,2,4,,,,,,,4,4,3,,1,,1,,3,2,3,,2,,,,,,,,2,,
,,,,15,7,8,1,2,2,,,,2,2,,4,3,1,,2,,1,,3,,5,,,,,,,,,,,,
,,,,16,8,8,2,2,2,,,1,2,,,4,4,2,,,,,,4,2,5,,,,,,,,,,2,2,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroSter,BroMad,TaeCap,CynEch,VulMyu,HypGla,LacSer,Galpar,Torilis,EupSpa,TriHya,LinBic,PetDub,TriDub,TriHir,VicSat,LolMul,BriMin,AirCar,Filago,ClaPur,Onagraceae,Sherardia,Bare,Gopher,HypRad,Filago,,,
SFREC,5/7/2017,2,2,1,1,1,,,,3,4,2,2,5,3,,2,,,,,,,3,,,,,,,,,,,,,,
,,,,2,2,1,1,,,4,3,2,,6,2,1,,2,2,,,,,2,,2,1,,,,,,,,,,,
,,,,3,3,1,1,,,3,4,2,1,5,2,2,2,,,,,2,,,,2,2,,,,,,,,,,,
,,,,4,4,1,2,,,3,5,2,,4,2,,,2,,2,,2,,,,,,,,,,,,,,,,
,,,,5,5,1,,,,3,4,2,1,5,2,1,,2,2,1,1,,,,,,,2,2,2,,,,,,,,
,,,,6,6,1,,,,3,2,2,,5,2,,,,,2,,2,,,2,,3,,,,1,3,3,2,,,,
,,,,7,7,1,2,,,3,1,2,1,5,2,1,,,,2,,2,,,1,3,2,,,3,2,,,2,,,,
,,,,8,8,1,2,2,,3,2,2,,5,2,,,2,,2,2,,2,,,2,,,,3,1,,,2,,,,
,,,,9,1,2,,,,3,3,3,,5,2,,,,,,,2,,2,,2,,,,2,,,,2,,,,
,,,,10,2,2,2,,,2,3,,,5,2,1,,,1,,,2,,2,,2,2,,,,,,,3,,,,
,,,,11,3,2,2,,,3,3,2,1,5,,2,,1,,,1,3,2,,,2,1,,,,,,,2,,,,
,,,,12,4,2,1,,,2,3,2,,6,,,,1,,,,2,,,,1,2,,,,1,,,2,,,,
,,,,13,5,2,,,,3,3,1,1,5,,1,,2,,2,,2,,,,2,2,,,,1,,,3,1,,,
,,,,14,6,2,,,,3,2,3,1,5,,1,,2,2,1,,2,2,,2,2,0,,,2,,,,,,,,
,,,,15,7,2,2,,,3,2,,1,5,,1,,,,2,1,,2,,2,2,2,,,3,1,,,,1,,,
,,,,16,8,2,2,,,3,4,1,,5,,1,,2,2,1,,,2,,,2,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,TaeCap,LolMul,BriMin,AirCar,VulMyu,HypGla,Torilis,GalPar,PetDub,ClaPur,Onagraceae,Sherardia,EupSpa,LinBic,Filago,TriDub,TriHir,VicSat,CynEch,CarPac,Bare,Gopher,Filago,Navarretia,Madea,TriHya,Lotus,,
SFREC,5/7/2017,2,2,1,1,3,2,,3,4,,2,2,2,5,,,,,3,,2,1,,3,,2,,,,,,,,,,,
,,,,2,2,3,2,,,4,,1,2,,5,,,,,2,,2,,,2,,2,2,,,,,,,,,,
,,,,3,3,3,2,,2,4,,2,1,,5,,,,,3,,1,,,3,2,,2,1,,,,,,,,,
,,,,4,4,3,2,,3,2,,,2,,4,2,,1,,3,1,2,,,3,2,2,2,2,2,2,,,,,,,
,,,,5,5,3,2,,3,2,,2,2,1,5,2,,,,3,,2,1,,3,2,2,2,,,,1,,,,,,
,,,,6,6,3,2,2,4,,,2,2,2,5,,,1,,3,,1,1,,4,,,2,,,,,,,,,,
,,,,7,7,3,2,,3,2,,2,,2,4,,,,1,4,1,2,2,,2,3,,,,,,,2,1,,,,
,,,,8,8,3,2,,2,3,,3,1,2,5,1,,,,3,,2,2,,2,3,,2,,,,,1,1,,,,
