Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriWhite,MadGra,NavPub,TriPlate,ClaPur,LolMul,AnaArv,SilGal,TriHir,GalPar,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,Trifolium,PlaNot,TriFuc,Bare,,,,,,,,,,,,,
MCL,4/24/2017,2,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,
,,,,3,3,3,3,2,2,,,,,,,,,,,,,,,,,
,,,,4,4,3,2,3,,,,,,,,,,,,,,,,,,
,,,,5,5,3,2,2,2,2,,,,,,,,,,,,,,,,
,,,,6,6,3,2,2,1,2,,,,,,,,,,,,,,,,
,,,,7,7,3,2,2,1,,1,,,,,,,,,,,,,,,
,,,,8,8,3,1,2,1,,1,,,,,,,,,,,,,,,
,,,,9,1,4,2,3,1,,,1,,,,,,,,,,,,,,
,,,,10,2,4,2,2,2,,,,,,,,,,,,,,,,,
,,,,11,3,4,2,1,1,,,,,,,,,,,,,,,,,
,,,,12,4,4,2,1,1,,,,,,,,,,,,,,,,,
,,,,13,5,4,2,2,2,,,3,,,,,,,,,,,,,,
,,,,14,6,4,2,2,,,1,2,,,,,,,,,,,,,,
,,,,15,7,4,1,2,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,2,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,PlaNot,TriFuc,Trifolium,,,,,,,,,,,,,,
MCL,4/24/2017,2,1,1,1,5,2,1,,,,,,,,,,,,,,,,,,
,,,,2,2,5,1,,1,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,2,2,,,,,,,,,,,,,,,,,
,,,,4,4,5,2,2,2,,,,,,,,,,,,,,,,,
,,,,5,5,5,1,2,,,,,,,,,,,,,,,,,,
,,,,6,6,5,1,2,,1,,,,,,,,,,,,,,,,
,,,,7,7,5,,2,,,,,,,,,,,,,,,,,,
,,,,8,8,5,1,2,1,1,2,,,,,,,,,,,,,,,
,,,,9,1,6,,1,1,,,,,,,,,,,,,,,,,
,,,,10,2,6,2,1,,,,,,,,,,,,,,,,,,
,,,,11,3,6,2,2,2,,,1,,,,,,,,,,,,,,
,,,,12,4,6,2,2,3,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,2,2,,1,1,,,,,,,,,,,,,,
,,,,14,6,6,1,1,,,,,,,,,,,,,,,,,,
,,,,15,7,6,1,1,,,,,,,,,,,,,,,,,,
,,,,16,8,6,1,2,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,PlaNot,TriFuc,Trifolium,,,,,,,,,,,,,,
MCL,4/24/2017,2,1,1,1,7,2,1,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,,2,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,,4,1,,,,,,,,,,,,,,,,
,,,,4,4,7,2,2,,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,1,,,,,,,,,,,,,,,,,,
,,,,6,6,7,2,2,,,1,,,,,,,,,,,,,,,
,,,,7,7,7,2,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,2,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,2,2,,,,,,,,,,,,,,,,,,
,,,,10,2,8,1,1,,2,,,,,,,,,,,,,,,,
,,,,11,3,8,1,2,2,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,2,,2,,,,,,,,,,,,,,,,
,,,,13,5,8,2,2,,,,,,,,,,,,,,,,,,
,,,,14,6,8,1,,,2,,1,1,,,,,,,,,,,,,
,,,,15,7,8,2,1,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,,,2,,1,,3,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,GerDis,PlaNot,TriFuc,Bare,Trifolium,LargeBrush,Gopher,TriEri,Cerastium,,,,,,,,,
MCL,4/24/2017,2,2,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,
,,,,2,2,1,2,,2,1,,,1,,,,,,,,,,,,,
,,,,3,3,1,2,,2,,,3,,,,,,,,,,,,,,
,,,,4,4,1,2,3,2,,2,,,1,,,,,,,,,,,,
,,,,5,5,1,2,3,2,,2,,,,,,,,,,,,,,,
,,,,6,6,1,3,1,2,,,4,3,,4,,,,,,,,,,,
,,,,7,7,1,2,2,1,,,3,5,,,2,,,,,,,,,,
,,,,8,8,1,2,3,,,,,2,2,,,,,,,,,,,,
,,,,9,1,2,2,,3,,1,3,,,,,1,,,,,,,,,
,,,,10,2,2,2,,3,,1,,,,,,,,,,,,,,,
,,,,11,3,2,2,,2,,2,,,,,,,,,,,,,,,
,,,,12,4,2,2,1,2,,2,,,,,,,,,,,,,,,
,,,,13,5,2,3,2,2,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,2,3,,1,,3,,,,,,,,,,,,,
,,,,15,7,2,3,4,,,,,3,2,,,,,,,,,,,,
,,,,16,8,2,3,2,,,,,2,1,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,TriFuc,Bare,Gopher,TriEri,Trifolium,,,,,,,,,,,,
MCL,4/24/2017,2,2,1,1,3,2,2,2,1,,,,,,,,,,,,,,,,
,,,,2,2,3,3,3,,1,2,2,,,,,,,,,,,,,,
,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,
,,,,4,4,3,3,2,1,,,,,,,,,,,,,,,,,
,,,,5,5,3,3,2,3,,,,1,,,,,,,,,,,,,
,,,,6,6,3,3,2,2,1,,,,,,,,,,,,,,,,
,,,,7,7,3,3,2,2,2,,,,,,,,,,,,,,,,
,,,,8,8,3,3,1,2,1,,,,,,,,,,,,,,,,
,,,,9,1,4,2,3,1,,,,,,,,,,,,,,,,,
,,,,10,2,4,2,3,2,,,,,,,,,,,,,,,,,
,,,,11,3,4,3,3,,1,,,,,,,,,,,,,,,,
,,,,12,4,4,3,2,1,2,,,,,,,,,,,,,,,,
,,,,13,5,4,3,2,,1,,,,2,,,,,,,,,,,,
,,,,14,6,4,3,3,1,,,,,2,,,,,,,,,,,,
,,,,15,7,4,2,2,3,,,,,3,,,,,,,,,,,,
,,,,16,8,4,2,2,2,,,,,2,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,TriFuc,Trifolium,TriEri,PlaNot,,,,,,,,,,,,,
MCL,4/24/2017,2,2,1,1,5,2,2,,1,,,,,,,,,,,,,,,,
,,,,2,2,5,2,2,,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,2,,1,,,,,,,,,,,,,,,,
,,,,4,4,5,2,2,2,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,2,,1,2,,,,,,,,,,,,,,,
,,,,6,6,5,2,1,1,,2,,,,,,,,,,,,,,,
,,,,7,7,5,3,2,2,,4,1,,,,,,,,,,,,,,
,,,,8,8,5,3,2,2,,3,,,,,,,,,,,,,,,
,,,,9,1,6,2,2,,,,,1,,,,,,,,,,,,,
,,,,10,2,6,2,2,,,,,,,,,,,,,,,,,,
,,,,11,3,6,1,2,,,,,,,,,,,,,,,,,,
,,,,12,4,6,2,2,,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,2,3,1,,,,,,,,,,,,,,,,
,,,,14,6,6,2,2,2,2,2,,,,,,,,,,,,,,,
,,,,15,7,6,2,2,1,1,,,,,,,,,,,,,,,,
,,,,16,8,6,4,1,1,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,GerDis,Lupinus,TriEri,Trifolium,TriFuc,PlaNot,,,,,,,,,,,,,
MCL,4/24/2017,2,2,1,1,7,2,3,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,3,1,,1,,,,,,,,,,,,,,,
,,,,3,3,7,2,2,,,,1,,,,,,,,,,,,,,
,,,,4,4,7,2,2,1,,,1,,,,,,,,,,,,,,
,,,,5,5,7,2,1,1,,1,2,,,,,,,,,,,,,,
,,,,6,6,7,2,2,1,,1,,,,,,,,,,,,,,,
,,,,7,7,7,2,2,2,,,,,,,,,,,,,,,,,
,,,,8,8,7,2,2,3,,,3,,,,,,,,,,,,,,
,,,,9,1,8,3,3,1,,,,,,,,,,,,,,,,,
,,,,10,2,8,3,2,2,,,1,,,,,,,,,,,,,,
,,,,11,3,8,2,2,,,,1,1,,,,,,,,,,,,,
,,,,12,4,8,3,3,2,,,1,,,,,,,,,,,,,,
,,,,13,5,8,2,2,2,,,1,,,,,,,,,,,,,,
,,,,14,6,8,2,2,,,,1,,,,,,,,,,,,,,
,,,,15,7,8,3,2,2,,,1,,,,,,,,,,,,,,
,,,,16,8,8,3,1,2,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Rock,Lupinus,Trifolium,Cerastium,,,,,,,,,,,,,,,
MCL,4/23/2017,3,1,1,1,1,4,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,4,2,2,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,,2,,,,,,,,,,,,,,,,,
,,,,4,4,1,3,,1,2,,,,,,,,,,,,,,,,
,,,,5,5,1,3,,2,,,,,,,,,,,,,,,,,
,,,,6,6,1,4,,2,,,,,,,,,,,,,,,,,
,,,,7,7,1,3,,1,,,,,,,,,,,,,,,,,
,,,,8,8,1,4,,2,,,,,,,,,,,,,,,,,
,,,,9,1,2,4,,2,,,,,,,,,,,,,,,,,
,,,,10,2,2,3,,2,,,,,,,,,,,,,,,,,
,,,,11,3,2,2,,1,,1,,,,,,,,,,,,,,,
,,,,12,4,2,2,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,3,,1,1,,,,,,,,,,,,,,,,
,,,,14,6,2,2,,2,,,,,,,,,,,,,,,,,
,,,,15,7,2,2,,2,,,,,,,,,,,,,,,,,
,,,,16,8,2,4,,3,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Trifolium,Cerastium,LargeBrush,TriFucatum,Bare,Gopher,,,,,,,,,,,,
MCL,4/23/2017,3,1,1,1,3,3,2,,2,,,,,,,,,,,,,,,,
,,,,2,2,3,3,2,,,,,,,,,,,,,,,,,,
,,,,3,3,3,3,2,,,,,,,,,,,,,,,,,,
,,,,4,4,3,2,2,,,,,,,,,,,,,,,,,,
,,,,5,5,3,3,2,,,,,,,,,,,,,,,,,,
,,,,6,6,3,2,2,,,2,,,,,,,,,,,,,,,
,,,,7,7,3,3,3,,,,,,,,,,,,,,,,,,
,,,,8,8,3,3,2,,,,1,,,,,,,,,,,,,,
,,,,9,1,4,3,1,,,,,,,,,,,,,,,,,,
,,,,10,2,4,3,2,,,,,,,,,,,,,,,,,,
,,,,11,3,4,3,2,,,,,,,,,,,,,,,,,,
,,,,12,4,4,2,1,,,,,,,,,,,,,,,,,,
,,,,13,5,4,3,3,,,,,,,,,,,,,,,,,,
,,,,14,6,4,3,2,,,,,,,,,,,,,,,,,,
,,,,15,7,4,4,3,,,1,,,,,,,,,,,,,,,
,,,,16,8,4,4,3,,,,,3,3,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Cerastium,FuzzyBrush,,,,,,,,,,,,,,,,
MCL,4/23/2017,3,1,1,1,5,3,,2,,,,,,,,,,,,,,,,,
,,,,2,2,5,2,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,2,,,,,,,,,,,,,,,,,,
,,,,4,4,5,2,1,,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,3,,,,,,,,,,,,,,,,,,
,,,,6,6,5,3,2,,,,,,,,,,,,,,,,,,
,,,,7,7,5,4,3,,,,,,,,,,,,,,,,,,
,,,,8,8,5,4,3,,,,,,,,,,,,,,,,,,
,,,,9,1,6,3,2,2,1,,,,,,,,,,,,,,,,
,,,,10,2,6,2,2,,,,,,,,,,,,,,,,,,
,,,,11,3,6,2,1,,,,,,,,,,,,,,,,,,
,,,,12,4,6,2,1,,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,3,,,,,,,,,,,,,,,,,,
,,,,14,6,6,2,3,,,,,,,,,,,,,,,,,,
,,,,15,7,6,3,3,,1,,,,,,,,,,,,,,,,
,,,,16,8,6,3,3,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Bare,LargeBrush,Trifolium,Cerastium,,,,,,,,,,,,,,
MCL,4/23/2017,3,1,1,1,7,3,2,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,2,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,2,,,,,,,,,,,,,,,,,,
,,,,4,4,7,2,3,2,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,3,,,,,,,,,,,,,,,,,,
,,,,6,6,7,2,4,,,,,,,,,,,,,,,,,,
,,,,7,7,7,3,3,,2,,,,,,,,,,,,,,,,
,,,,8,8,7,3,3,,,,,,,,,,,,,,,,,,
,,,,9,1,8,3,,,,1,,,,,,,,,,,,,,,
,,,,10,2,8,3,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,3,2,,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,2,,,,,,,,,,,,,,,,,,
,,,,13,5,8,2,3,,,,1,,,,,,,,,,,,,,
,,,,14,6,8,2,4,,,,,,,,,,,,,,,,,,
,,,,15,7,8,2,4,,,,,,,,,,,,,,,,,,
,,,,16,8,8,3,3,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Trifolium,Bare,LargeBrush,,,,,,,,,,,,,,,
MCL,4/23/2017,3,2,1,1,1,3,2,,,,,,,,,,,,,,,,,,
,,,,2,2,1,4,4,,,,,,,,,,,,,,,,,,
,,,,3,3,1,4,3,,,,,,,,,,,,,,,,,,
,,,,4,4,1,4,3,,,,,,,,,,,,,,,,,,
,,,,5,5,1,4,4,2,,,,,,,,,,,,,,,,,
,,,,6,6,1,4,4,,2,,,,,,,,,,,,,,,,
,,,,7,7,1,3,4,,,,,,,,,,,,,,,,,,
,,,,8,8,1,3,3,,,,,,,,,,,,,,,,,,
,,,,9,1,2,3,3,,,3,,,,,,,,,,,,,,,
,,,,10,2,2,3,3,,2,1,,,,,,,,,,,,,,,
,,,,11,3,2,4,4,,,,,,,,,,,,,,,,,,
,,,,12,4,2,4,3,1,,,,,,,,,,,,,,,,,
,,,,13,5,2,4,3,1,,,,,,,,,,,,,,,,,
,,,,14,6,2,3,3,2,,,,,,,,,,,,,,,,,
,,,,15,7,2,4,3,,,,,,,,,,,,,,,,,,
,,,,16,8,2,3,3,2,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Trifolium,TriFuc,Bare,Gopher,,,,,,,,,,,,,,
MCL,4/23/2017,3,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,
,,,,2,2,3,3,4,,,,,,,,,,,,,,,,,,
,,,,3,3,3,4,4,,,,,,,,,,,,,,,,,,
,,,,4,4,3,4,4,,,,,,,,,,,,,,,,,,
,,,,5,5,3,4,4,2,,,,,,,,,,,,,,,,,
,,,,6,6,3,4,4,3,,,,,,,,,,,,,,,,,
,,,,7,7,3,4,3,3,1,,,,,,,,,,,,,,,,
,,,,8,8,3,4,4,2,,,,,,,,,,,,,,,,,
,,,,9,1,4,3,3,,,2,2,,,,,,,,,,,,,,
,,,,10,2,4,3,4,,,,,,,,,,,,,,,,,,
,,,,11,3,4,3,4,,,2,,,,,,,,,,,,,,,
,,,,12,4,4,3,4,,,,,,,,,,,,,,,,,,
,,,,13,5,4,3,3,,,,,,,,,,,,,,,,,,
,,,,14,6,4,4,4,,,,,,,,,,,,,,,,,,
,,,,15,7,4,2,2,7,,,,,,,,,,,,,,,,,
,,,,16,8,4,3,4,3,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Bare,TriEri,LargeBrush,Trifolium,,,,,,,,,,,,,,
MCL,4/23/2017,3,2,1,1,5,2,4,2,,,,,,,,,,,,,,,,,
,,,,2,2,5,3,4,2,,,,,,,,,,,,,,,,,
,,,,3,3,5,3,4,,1,2,,,,,,,,,,,,,,,
,,,,4,4,5,3,4,,,,,,,,,,,,,,,,,,
,,,,5,5,5,3,4,,,,,,,,,,,,,,,,,,
,,,,6,6,5,4,4,,,,2,,,,,,,,,,,,,,
,,,,7,7,5,2,,,,,3,,,,,,,,,,,,,,
,,,,8,8,5,3,2,,,,3,,,,,,,,,,,,,,
,,,,9,1,6,2,3,,,,,,,,,,,,,,,,,,
,,,,10,2,6,2,3,,,,,,,,,,,,,,,,,,
,,,,11,3,6,2,4,,,1,,,,,,,,,,,,,,,
,,,,12,4,6,3,4,,,,,,,,,,,,,,,,,,
,,,,13,5,6,3,5,,,,,,,,,,,,,,,,,,
,,,,14,6,6,4,3,,,,,,,,,,,,,,,,,,
,,,,15,7,6,3,2,,,,3,,,,,,,,,,,,,,
,,,,16,8,6,3,0,,,,5,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Bare,Trifolium,Rock,Gopher,,,,,,,,,,,,,,
MCL,4/23/2017,3,2,1,1,7,1,3,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,3,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,3,2,2,,,,,,,,,,,,,,,,
,,,,4,4,7,2,4,,,,,,,,,,,,,,,,,,
,,,,5,5,7,3,4,,,,,,,,,,,,,,,,,,
,,,,6,6,7,3,3,,,,,,,,,,,,,,,,,,
,,,,7,7,7,2,2,,,,,,,,,,,,,,,,,,
,,,,8,8,7,1,1,,2,3,,,,,,,,,,,,,,,
,,,,9,1,8,1,2,,,,,,,,,,,,,,,,,,
,,,,10,2,8,2,2,2,1,,,,,,,,,,,,,,,,
,,,,11,3,8,0,2,,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,3,,,,,,,,,,,,,,,,,,
,,,,13,5,8,3,3,3,,,3,,,,,,,,,,,,,,
,,,,14,6,8,1,3,,,,,,,,,,,,,,,,,,
,,,,15,7,8,2,1,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,2,,4,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Gopher,Bare,Cerastium,GerDis,,,,,,,,,,,,,,
MCL,4/23/2017,4,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
,,,,2,2,1,1,2,,,,,,,,,,,,,,,,,,
,,,,3,3,1,0,0,,,,,,,,,,,,,,,,,,
,,,,4,4,1,0,2,,,,,,,,,,,,,,,,,,
,,,,5,5,1,2,3,,,,,,,,,,,,,,,,,,
,,,,6,6,1,0,2,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,0,2,2,,,,,,,,,,,,,,,,
,,,,8,8,1,1,2,,,,,,,,,,,,,,,,,,
,,,,9,1,2,1,2,,,,,,,,,,,,,,,,,,
,,,,10,2,2,1,2,,,,,,,,,,,,,,,,,,
,,,,11,3,2,1,2,,,,,,,,,,,,,,,,,,
,,,,12,4,2,0,1,,,,,,,,,,,,,,,,,,
,,,,13,5,2,0,2,,,,,,,,,,,,,,,,,,
,,,,14,6,2,0,2,,,1,,,,,,,,,,,,,,,
,,,,15,7,2,0,1,2,,1,,,,,,,,,,,,,,,
,,,,16,8,2,0,2,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,GerDis,Trifolium,LargeBrush,Delphinium?,TriEri,Bare,,,,,,,,,,,,
MCL,4/23/2017,4,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,
,,,,3,3,3,2,1,,,,,,,,,,,,,,,,,,
,,,,4,4,3,1,2,1,,,,,,,,,,,,,,,,,
,,,,5,5,3,0,2,,,,,,,,,,,,,,,,,,
,,,,6,6,3,0,2,,,,,,,,,,,,,,,,,,
,,,,7,7,3,1,2,,,,,,,,,,,,,,,,,,
,,,,8,8,3,0,2,,1,,,,,,,,,,,,,,,,
,,,,9,1,4,2,2,,,1,1,,,,,,,,,,,,,,
,,,,10,2,4,3,2,1,,,,2,,,,,,,,,,,,,
,,,,11,3,4,2,2,,,,,,,,,,,,,,,,,,
,,,,12,4,4,2,2,,,,,,2,,,,,,,,,,,,
,,,,13,5,4,0,2,,,,,,,,,,,,,,,,,,
,,,,14,6,4,1,2,,,,,,,,,,,,,,,,,,
,,,,15,7,4,0,2,,1,,,,,,,,,,,,,,,,
,,,,16,8,4,2,2,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,GerDis,Bare,Gopher,TriEri,Trifolium,,,,,,,,,,,,,
MCL,4/23/2017,4,1,1,1,5,3,2,,,,,,,,,,,,,,,,,,
,,,,2,2,5,2,0,,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,2,1,,,,,,,,,,,,,,,,,
,,,,4,4,5,2,2,,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,2,,,,,,,,,,,,,,,,,,
,,,,6,6,5,2,2,,,,,,,,,,,,,,,,,,
,,,,7,7,5,0,2,1,,,,,,,,,,,,,,,,,
,,,,8,8,5,1,2,,2,3,,,,,,,,,,,,,,,
,,,,9,1,6,3,2,,,,1,,,,,,,,,,,,,,
,,,,10,2,6,3,1,,,,,2,,,,,,,,,,,,,
,,,,11,3,6,3,2,,,,,,,,,,,,,,,,,,
,,,,12,4,6,2,2,,,,,,,,,,,,,,,,,,
,,,,13,5,6,1,3,,,,,,,,,,,,,,,,,,
,,,,14,6,6,2,3,,,,,,,,,,,,,,,,,,
,,,,15,7,6,2,2,,,,,,,,,,,,,,,,,,
,,,,16,8,6,1,3,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Delphinium,Cerastium,Bare,,,,,,,,,,,,,,,
MCL,4/23/2017,4,1,1,1,7,4,0,,,,,,,,,,,,,,,,,,
,,,,2,2,7,3,1,,,,,,,,,,,,,,,,,,
,,,,3,3,7,3,1,,,,,,,,,,,,,,,,,,
,,,,4,4,7,2,1,,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,4,,,,,,,,,,,,,,,,,,
,,,,6,6,7,0,3,,,,,,,,,,,,,,,,,,
,,,,7,7,7,2,2,,,,,,,,,,,,,,,,,,
,,,,8,8,7,2,3,,,,,,,,,,,,,,,,,,
,,,,9,1,8,2,2,,,,,,,,,,,,,,,,,,
,,,,10,2,8,3,2,4,,,,,,,,,,,,,,,,,
,,,,11,3,8,2,2,,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,3,,,,,,,,,,,,,,,,,,
,,,,13,5,8,2,3,,1,,,,,,,,,,,,,,,,
,,,,14,6,8,2,2,,,,,,,,,,,,,,,,,,
,,,,15,7,8,2,3,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,2,,,1,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Bare,Gopher,Cerastium,,,,,,,,,,,,,,,
MCL,4/23/2017,4,2,1,1,1,0,2,,,,,,,,,,,,,,,,,,
,,,,2,2,1,0,3,,,,,,,,,,,,,,,,,,
,,,,3,3,1,0,2,3,,2,,,,,,,,,,,,,,,
,,,,4,4,1,0,2,2,,1,,,,,,,,,,,,,,,
,,,,5,5,1,0,3,,,,,,,,,,,,,,,,,,
,,,,6,6,1,0,2,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,3,,,,,,,,,,,,,,,,,,
,,,,8,8,1,2,3,,,,,,,,,,,,,,,,,,
,,,,9,1,2,,2,,,,,,,,,,,,,,,,,,
,,,,10,2,2,,3,,,,,,,,,,,,,,,,,,
,,,,11,3,2,,3,2,2,,,,,,,,,,,,,,,,
,,,,12,4,2,1,3,,,,,,,,,,,,,,,,,,
,,,,13,5,2,,2,,,,,,,,,,,,,,,,,,
,,,,14,6,2,1,3,,,,,,,,,,,,,,,,,,
,,,,15,7,2,,2,,,,,,,,,,,,,,,,,,
,,,,16,8,2,2,3,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,TriWildenovii,Bare,Gopher,TriFucatum,,,,,,,,,,,,,,
MCL,4/23/2017,4,2,1,1,3,,2,1,,,,,,,,,,,,,,,,,
,,,,2,2,3,,2,,2,,,,,,,,,,,,,,,,
,,,,3,3,3,,2,,2,,,,,,,,,,,,,,,,
,,,,4,4,3,2,3,,3,3,,,,,,,,,,,,,,,
,,,,5,5,3,1,3,,,,1,,,,,,,,,,,,,,
,,,,6,6,3,1,3,,,,,,,,,,,,,,,,,,
,,,,7,7,3,2,3,,,,,,,,,,,,,,,,,,
,,,,8,8,3,2,3,,,,,,,,,,,,,,,,,,
,,,,9,1,4,,3,,,,,,,,,,,,,,,,,,
,,,,10,2,4,,4,,,,,,,,,,,,,,,,,,
,,,,11,3,4,,3,,3,,,,,,,,,,,,,,,,
,,,,12,4,4,2,4,,,,,,,,,,,,,,,,,,
,,,,13,5,4,,3,,,,,,,,,,,,,,,,,,
,,,,14,6,4,1,3,,,,,,,,,,,,,,,,,,
,,,,15,7,4,2,2,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,2,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Bare,Gopher,Cerastium,,,,,,,,,,,,,,,
MCL,4/23/2017,4,2,1,1,5,4,2,2,,,,,,,,,,,,,,,,,
,,,,2,2,5,4,,,2,,,,,,,,,,,,,,,,
,,,,3,3,5,4,,,,3,,,,,,,,,,,,,,,
,,,,4,4,5,4,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,4,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,3,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,3,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,2,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,4,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,5,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,4,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,4,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,4,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,3,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,2,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,2,,,,,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,Rock,Bare,,,,,,,,,,,,,,,,
MCL,4/23/2017,4,2,1,1,7,2,3,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,5,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,4,,,,,,,,,,,,,,,,,,
,,,,4,4,7,2,4,,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,5,,,,,,,,,,,,,,,,,,
,,,,6,6,7,2,3,,,,,,,,,,,,,,,,,,
,,,,7,7,7,2,3,,,,,,,,,,,,,,,,,,
,,,,8,8,7,2,2,,,,,,,,,,,,,,,,,,
,,,,9,1,8,3,4,,,,,,,,,,,,,,,,,,
,,,,10,2,8,3,4,,,,,,,,,,,,,,,,,,
,,,,11,3,8,2,4,,,,,,,,,,,,,,,,,,
,,,,12,4,8,3,5,,,,,,,,,,,,,,,,,,
,,,,13,5,8,1,4,2,2,,,,,,,,,,,,,,,,
,,,,14,6,8,2,3,,,,,,,,,,,,,,,,,,
,,,,15,7,8,2,2,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,2,,,,,,,,,,,,,,,,,,
